Duration	Text	Note
0.534058957	만	76
0.52244898	나	78
0.499229025	고	79
0.568888889	<X>	0
0.580498866	난	71
0.464399093	외	74
0.47600907	로	72
0.499229025	움	71
0.371519274	을	72
0.127709751	<X>	0
0.429569161	알	71
0.208979592	았	69
0.568888889	어	69
0.429569161	내	71
0.487619048	겐	74
1.439637188	<X>	0
0.255419501	관	79
0.487619048	심	78
0.139319728	조	79
0.127709751	<X>	0
0.568888889	차	71
0.255419501	<X>	0
0.058049887	없	74
0.150929705	<X>	0
0.626938776	다	74
0.255419501	는	72
0.510839002	걸	72
0.197369615	<X>	0
0.47600907	알	71
0.719818594	면	71
0.220589569	서	69
